Location,Date,SO2,CO,O3,NO2,PM10,PM25
전남,2015-01-27,0.004,0.565,0.028,0.009,45.902,33.874
전남,2015-01-28,0.004,0.435,0.023,0.013,25.139,13.826
전남,2015-01-29,0.003,0.487,0.016,0.017,22.484,15.96
전남,2015-01-30,0.004,0.457,0.027,0.011,25.078,18.723
전남,2015-01-31,0.003,0.383,0.029,0.008,23.718,13.958
전남,2015-02-01,0.006,0.59,0.022,0.018,30.778,21.361
전남,2015-02-02,0.006,0.67,0.018,0.023,36.139,25.847
전남,2015-02-03,0.006,0.673,0.018,0.026,45.021,32.368
전남,2015-02-04,0.009,0.841,0.033,0.019,76.441,62.119
전남,2015-02-05,0.006,0.554,0.038,0.011,57.086,42.079
전남,2015-02-06,0.003,0.386,0.03,0.013,36.614,24.371
전남,2015-02-07,0.004,0.44,0.026,0.015,44.113,31.745
전남,2015-02-08,0.003,0.324,0.032,0.005,45.748,17.185
전남,2015-02-09,0.003,0.312,0.03,0.007,20.168,9.818
전남,2015-02-10,0.006,0.568,0.033,0.017,65.75,39.604
전남,2015-02-11,0.005,0.624,0.029,0.025,67.896,43.43
전남,2015-02-12,0.004,0.433,0.033,0.012,45.187,25.97
전남,2015-02-13,0.004,0.366,0.03,0.012,28.469,16.063
전남,2015-02-14,0.005,0.539,0.027,0.022,59.417,39.333
전남,2015-02-15,0.006,0.696,0.029,0.025,87.723,59.642
전남,2015-02-16,0.004,0.56,0.036,0.017,38.44,30.454
전남,2015-02-17,0.003,0.485,0.036,0.009,79.479,38.775
전남,2015-02-18,0.004,0.539,0.039,0.008,51.875,42.833
전남,2015-02-19,0.004,0.513,0.034,0.012,39.431,32.375
전남,2015-02-20,0.005,0.549,0.029,0.017,38.062,29.118
전남,2015-02-21,0.003,0.322,0.028,0.013,14.215,8.847
전남,2015-02-22,0.003,0.411,0.032,0.009,77.854,25.472
전남,2015-02-23,0.002,0.358,0.029,0.008,227.604,32.367
전남,2015-02-24,0.004,0.44,0.029,0.012,77.049,23.569
전남,2015-02-25,0.007,0.591,0.017,0.026,72.197,32.927
전남,2015-02-26,0.004,0.438,0.027,0.014,53.832,26.275
전남,2015-02-27,0.003,0.321,0.031,0.009,28.227,15.766
전남,2015-02-28,0.004,0.392,0.027,0.014,39.389,22.701
전남,2015-03-01,0.004,0.397,0.033,0.008,72.507,29.542
전남,2015-03-02,0.005,0.471,0.027,0.017,100.243,25.736
전남,2015-03-03,0.004,0.512,0.02,0.021,42.799,21.076
전남,2015-03-04,0.002,0.283,0.035,0.005,35.769,12.406
전남,2015-03-05,0.004,0.423,0.029,0.015,35.243,23.393
전남,2015-03-06,0.004,0.457,0.026,0.02,41.889,29.16
전남,2015-03-07,0.005,0.544,0.027,0.021,42.122,28.604
전남,2015-03-08,0.005,0.532,0.031,0.02,47.278,32.118
전남,2015-03-09,0.003,0.384,0.04,0.011,41.803,24.352
전남,2015-03-10,0.002,0.32,0.035,0.006,33.958,10.275
전남,2015-03-11,0.005,0.466,0.038,0.01,54.486,27.16
전남,2015-03-12,0.003,0.356,0.036,0.012,38.631,20.454
전남,2015-03-13,0.004,0.513,0.034,0.023,67.271,44.66
전남,2015-03-14,0.006,0.478,0.034,0.018,47.451,31.118
전남,2015-03-15,0.004,0.424,0.028,0.019,38.175,24.427
전남,2015-03-16,0.006,0.576,0.028,0.028,62.148,39.047
전남,2015-03-17,0.007,0.618,0.026,0.034,76.619,44.407
전남,2015-03-18,0.003,0.508,0.028,0.018,24.388,16.411
전남,2015-03-19,0.003,0.499,0.036,0.016,17.629,12.621
전남,2015-03-20,0.005,0.76,0.035,0.023,67.283,41.877
전남,2015-03-21,0.005,0.698,0.04,0.023,103.882,55.958
전남,2015-03-22,0.006,0.672,0.049,0.012,138.819,68.639
전남,2015-03-23,0.003,0.327,0.038,0.009,39.28,10.93
전남,2015-03-24,0.004,0.41,0.038,0.013,37.294,18.608
전남,2015-03-25,0.005,0.481,0.034,0.02,35.571,22.75
전남,2015-03-26,0.003,0.423,0.032,0.02,32.782,21.923
전남,2015-03-27,0.005,0.512,0.03,0.027,45.912,29.562
전남,2015-03-28,0.003,0.379,0.034,0.02,39.535,25.771
전남,2015-03-29,0.004,0.447,0.04,0.017,51.889,34.083
전남,2015-03-30,0.006,0.619,0.044,0.021,90.557,63.143
전남,2015-03-31,0.004,0.612,0.027,0.025,52.646,38.577
제주,2015-01-01,0,0.145,0.032,0.002,27.55,1.3
제주,2015-01-02,0.001,0.227,0.035,0.003,42.955,1.909
제주,2015-01-03,0,0.15,0.038,0.002,25.2,1
제주,2015-01-04,0,0.374,0.052,0.007,87.739,4.435
제주,2015-01-05,0.001,0.31,0.048,0.006,73.15,4.05
제주,2015-01-06,,0.2,0.038,0.003,49.333,2.667
제주,2015-01-07,,0.165,0.037,0.001,29.7,1.25
제주,2015-01-08,,0.185,0.037,0.001,27.35,1.1
제주,2015-01-09,,0.389,0.038,0.005,60.368,2.842
제주,2015-01-10,,0.561,0.038,0.01,98.739,5.522
제주,2015-01-11,,0.468,0.044,0.007,105.591,7.409
제주,2015-01-12,,0.2,0.037,0.003,26.895,1
제주,2015-01-13,,0.186,0.033,0.005,30.429,1.5
제주,2015-01-14,,0.156,0.032,0.004,19.444,1
제주,2015-01-15,,0.335,0.042,0.006,55,4
제주,2015-01-16,,0.648,0.04,0.006,98.381,7.476
제주,2015-01-17,,0.25,0.036,0.003,49.2,3.1
제주,2015-01-18,,0.2,0.04,0.002,28,1.545
제주,2015-01-19,,0.332,0.04,0.005,104.318,4.818
제주,2015-01-20,,0.194,0.036,0.003,38.562,1.688
제주,2015-01-21,,0.2,0.042,0.003,26.727,1.318
제주,2015-01-22,,0.239,0.047,0.003,36.278,2.222
제주,2015-01-23,,0.2,0.046,0.002,31.174,1.261
제주,2015-01-24,,0.191,0.046,0.002,22.409,1.045
제주,2015-01-25,,0.143,0.043,0.003,27.565,1.261
제주,2015-01-26,,0.362,0.046,0.004,65,4.333
제주,2015-01-27,,0.321,0.041,0.002,54.526,3.895
제주,2015-01-28,,0.178,0.038,0.001,28.889,1.444
제주,2015-01-29,,0.2,0.037,0.003,17,1
제주,2015-01-30,,0.255,0.04,0.003,33.75,1.7
제주,2015-01-31,,0.175,0.04,0.001,28.85,1.1
제주,2015-02-01,,0.175,0.041,0.003,24.5,1
제주,2015-02-02,,0.189,0.042,0.004,23.667,1
제주,2015-02-03,,0.271,0.045,0.003,31.81,1.286
제주,2015-02-04,,0.527,0.056,0.005,84.909,5.091
제주,2015-02-05,,0.322,0.047,0.003,55.391,2.913
제주,2015-02-06,,0.138,0.045,0.002,32.333,1.048
제주,2015-02-07,,0.291,0.052,0.004,63.217,3.348
제주,2015-02-08,,0.2,0.042,0.003,51.15,2.35
제주,2015-02-09,,0.138,0.042,0.001,19.538,1
제주,2015-02-10,,0.289,0.054,0.004,61.526,2.947
제주,2015-02-11,,0.252,0.059,0.005,58.87,2.174
제주,2015-02-12,,0.285,0.056,0.004,62.3,2.8
제주,2015-02-13,,0.14,0.048,0.002,22.2,1
제주,2015-02-14,,0.305,0.066,0.004,66.667,2.952
제주,2015-02-15,,0.357,0.068,0.004,79.739,3.87
제주,2015-02-16,,0.385,0.054,0.003,34.2,1.8
제주,2015-02-17,0,0.48,0.052,0.003,119.15,4.45
제주,2015-02-18,0,0.295,0.052,0.002,59.773,2.682
제주,2015-02-19,0,0.205,0.051,0.002,31.273,1.091
제주,2015-02-20,0,0.275,0.051,0.003,33.35,1.7
제주,2015-02-21,0,0.211,0.047,0.002,17.444,1
제주,2015-02-22,0,0.305,0.049,0.002,80.619,3.048
제주,2015-02-23,0,0.195,0.044,0.002,271.8,4.3
제주,2015-02-24,0.001,0.239,0.05,0.003,86.696,2.087
제주,2015-02-25,0.001,0.243,0.05,0.004,50.286,1.476
제주,2015-02-26,0,0.295,0.049,0.003,53.714,2.095
제주,2015-02-27,0,0.212,0.045,0.002,32.941,1.118
제주,2015-02-28,0,0.2,0.047,0.005,34.682,1.5
제주,2015-03-01,0.001,0.286,0.056,0.003,92.857,2.857
제주,2015-03-02,0,0.222,0.05,0.003,106.522,1.957
제주,2015-03-03,0,0.233,0.059,0.002,88.19,2.286
제주,2015-03-04,0,0.188,0.048,0.001,40.176,1.176
제주,2015-03-05,0.001,0.205,0.051,0.004,28.045,1.091
제주,2015-03-06,0,0.2,0.044,0.008,27,1.391
제주,2015-03-07,0,0.268,0.054,0.004,31.368,1.368
제주,2015-03-08,0.001,0.206,0.065,0.004,32.938,1.188
제주,2015-03-09,0,0.215,0.06,0.002,40.3,1.85
제주,2015-03-10,0,0.182,0.049,0.001,37.545,1.364
제주,2015-03-11,0.002,0.309,0.061,0.004,66.522,2.913
제주,2015-03-12,0.002,0.37,0.072,0.005,96.609,4.391
제주,2015-03-13,0.001,0.259,0.071,0.004,60.591,2.409
제주,2015-03-14,0.001,0.217,0.061,0.006,48.348,1.783
제주,2015-03-15,0.001,0.2,0.062,0.007,40,1.522
제주,2015-03-16,0.001,0.23,0.051,0.01,34.696,1.478
제주,2015-03-17,0,0.209,0.044,0.007,41.739,1.652
제주,2015-03-18,0,0.233,0.041,0.005,32.889,1.333
제주,2015-03-19,0,0.357,0.042,0.006,24.286,1
제주,2015-03-20,0.001,0.591,0.077,0.008,87.174,4.478
제주,2015-03-21,0.001,0.627,0.083,0.009,137.5,7.227
제주,2015-03-22,0.001,0.577,0.061,0.01,187.045,6.955
제주,2015-03-23,0,0.15,0.054,0.004,44.786,1
제주,2015-03-24,0.001,0.2,0.057,0.003,33.826,1
제주,2015-03-25,0.001,0.2,0.056,0.004,21,1
제주,2015-03-26,0,0.2,0.062,0.005,24,1.15
제주,2015-03-27,0.001,0.205,0.056,0.008,34.955,1.455
제주,2015-03-28,0,0.196,0.06,0.005,40.565,1.478
제주,2015-03-29,0,0.2,0.059,0.003,31.174,1.348
제주,2015-03-30,0,0.327,0.07,0.007,91.455,4.818
제주,2015-03-31,0,0.214,0.059,0.004,43.429,1.929
충북,2015-01-01,0.006,0.546,0.022,0.015,58.25,12.292
충북,2015-01-02,0.006,0.642,0.017,0.026,33.292,14.583
충북,2015-01-03,0.008,1.042,0.009,0.039,48.667,24.125
충북,2015-01-04,0.009,1.638,0.008,0.046,78.167,40.583
충북,2015-01-05,0.009,1.558,0.006,0.052,134.083,70.25
충북,2015-01-06,0.006,0.692,0.018,0.029,69.083,29.75
충북,2015-01-07,0.008,0.726,0.017,0.03,50.957,13.783
충북,2015-01-08,0.007,0.887,0.01,0.038,63.5,24.708
충북,2015-01-09,0.007,1.033,0.007,0.04,69.583,32.542
충북,2015-01-10,0.007,0.979,0.011,0.038,64.5,30.125
충북,2015-01-11,0.008,0.95,0.018,0.028,53.875,24.292
충북,2015-01-12,0.007,0.892,0.016,0.037,69.167,30.5
충북,2015-01-13,0.007,1.258,0.008,0.047,94.625,43.292
충북,2015-01-14,0.007,1.143,0.006,0.045,99.478,47.304
충북,2015-01-15,0.009,1.221,0.007,0.052,110.292,52
충북,2015-01-16,0.006,1.271,0.01,0.042,113.833,59.375
충북,2015-01-17,0.007,0.712,0.023,0.023,47.333,20.25
충북,2015-01-18,0.007,0.838,0.013,0.031,47.042,21.708
충북,2015-01-19,0.007,0.929,0.015,0.033,77.625,33.708
충북,2015-01-20,0.006,0.909,0.01,0.037,78.217,32.652
충북,2015-01-21,0.007,1.3,0.002,0.05,103.238,42.095
충북,2015-01-22,0.005,0.9,0.004,0.045,81.417,45.375
충북,2015-01-23,0.007,1.188,0.006,0.044,88.583,46.25
충북,2015-01-24,0.007,1.075,0.008,0.042,84.167,42.167
충북,2015-01-25,0.006,1.225,0.003,0.04,125.333,71.667
충북,2015-01-26,0.006,1.046,0.008,0.036,90.833,52.833
충북,2015-01-27,0.007,0.895,0.017,0.025,75.619,35.143
충북,2015-01-28,0.005,0.786,0.011,0.031,75.524,23.048
충북,2015-01-29,0.005,1.017,0.002,0.042,90.609,41.652
충북,2015-01-30,0.007,0.808,0.016,0.029,61.5,25.583
충북,2015-01-31,0.008,0.838,0.014,0.031,51.583,19.917
충북,2015-02-01,0.007,1.026,0.01,0.037,68.348,30.348
충북,2015-02-02,0.007,1.138,0.006,0.046,87.417,40.083
충북,2015-02-03,0.008,0.97,0.005,0.055,113.2,51
충북,2015-02-04,0.011,0.925,0.008,0.051,136.083,72.833
충북,2015-02-05,0.012,0.558,0.019,0.038,122.083,65.417
충북,2015-02-06,0.008,0.288,0.017,0.034,73.583,35.333
충북,2015-02-07,0.008,0.342,0.011,0.036,64.5,30.667
충북,2015-02-08,0.007,0.133,0.027,0.009,89.917,12.417
충북,2015-02-09,0.007,0.183,0.015,0.023,38.75,11.167
충북,2015-02-10,0.013,0.477,0.014,0.04,115.545,49.455
충북,2015-02-11,0.011,0.717,0.014,0.048,135.583,66.833
충북,2015-02-12,0.009,0.192,0.023,0.024,49,15.667
충북,2015-02-13,0.009,0.265,0.018,0.029,51.13,11.739
충북,2015-02-14,0.009,0.612,0.011,0.051,90.333,40.333
충북,2015-02-15,0.008,0.719,0.018,0.039,135.429,66.762
충북,2015-02-16,,0.375,0.047,0.007,67,36.5
충북,2015-02-18,0.005,0.455,0.03,0.017,90.182,35.818
충북,2015-02-19,0.004,0.608,0.019,0.026,77.917,34.292
충북,2015-02-20,0.005,0.675,0.017,0.03,70,30.625
충북,2015-02-21,0.005,0.433,0.012,0.031,34.833,11.208
충북,2015-02-22,0.004,0.417,0.019,0.018,160.87,40.609
충북,2015-02-23,0.004,0.337,0.019,0.018,411.375,93.583
충북,2015-02-24,0.006,0.513,0.015,0.03,123,33.5
충북,2015-02-25,0.006,0.583,0.009,0.039,96.25,30.667
충북,2015-02-26,0.005,0.3,0.025,0.016,50.636,15.409
충북,2015-02-27,0.004,0.288,0.021,0.022,41.583,9.5
충북,2015-02-28,0.005,0.554,0.008,0.037,70.667,25.417
충북,2015-03-01,0.004,0.333,0.025,0.015,126.583,33.417
충북,2015-03-02,0.006,0.454,0.015,0.031,113.5,25.5
충북,2015-03-03,0.006,0.482,0.015,0.033,83,26.636
충북,2015-03-04,0.005,0.275,0.03,0.014,46,6
충북,2015-03-05,0.005,0.458,0.022,0.034,68.083,28.542
충북,2015-03-06,0.007,0.554,0.014,0.048,84,37.167
충북,2015-03-07,0.009,0.621,0.015,0.054,95.667,46.167
충북,2015-03-08,0.009,0.646,0.021,0.045,108.917,47.75
충북,2015-03-09,0.011,0.535,0.029,0.032,109.5,43.8
충북,2015-03-10,0.004,0.254,0.032,0.014,43.917,9.5
충북,2015-03-11,0.007,0.373,0.028,0.024,60.455,24.364
충북,2015-03-12,0.006,0.346,0.025,0.029,40,13.833
충북,2015-03-13,0.006,0.363,0.035,0.029,74.5,42.667
충북,2015-03-14,0.009,0.608,0.02,0.039,72.25,36.5
충북,2015-03-15,0.008,0.596,0.021,0.036,83.292,48.917
충북,2015-03-16,0.013,0.921,0.013,0.059,143.167,67.917
충북,2015-03-17,0.01,0.817,0.013,0.058,197.217,104
충북,2015-03-18,0.006,0.592,0.015,0.035,97.583,60.708
충북,2015-03-19,0.006,0.396,0.028,0.025,50.167,27.333
충북,2015-03-20,0.008,0.533,0.02,0.038,113.25,47.083
충북,2015-03-21,0.01,0.721,0.028,0.04,160.25,60.167
충북,2015-03-22,0.007,0.563,0.044,0.017,189.25,78.833
충북,2015-03-23,0.006,0.329,0.032,0.016,62.417,13.083
충북,2015-03-24,0.007,0.491,0.02,0.029,58,25.565
충북,2015-03-25,0.006,0.514,0.018,0.036,62.273,31.364
충북,2015-03-26,0.01,0.575,0.023,0.037,77.167,38.333
충북,2015-03-27,0.011,0.646,0.029,0.043,94.417,50.167
충북,2015-03-28,0.008,0.538,0.029,0.034,85.5,47.333
충북,2015-03-29,,0.404,0.043,0.018,109.333,54.25
충북,2015-03-30,,0.696,0.025,0.037,191.333,83.083
충북,2015-03-31,0.009,0.723,0.008,0.039,154.727,80.909
강원,2015-04-01,0.003,0.554,0.036,0.014,35.736,19.161
강원,2015-04-02,0.003,0.555,0.028,0.016,34.215,13.634
강원,2015-04-03,0.003,0.653,0.031,0.017,30.391,14.333
강원,2015-04-04,0.003,0.48,0.037,0.013,22.914,6.086
강원,2015-04-05,0.003,0.528,0.031,0.013,25.522,10.2
강원,2015-04-06,0.004,0.597,0.023,0.017,54.43,19.441
강원,2015-04-07,0.003,0.537,0.03,0.012,30.856,12.556
강원,2015-04-08,0.004,0.554,0.027,0.017,31.269,13.677
강원,2015-04-09,0.004,0.603,0.022,0.024,51.977,27.552
강원,2015-04-10,0.005,0.594,0.032,0.027,69.552,39.385
강원,2015-04-11,0.005,0.577,0.036,0.024,68.812,38.604
강원,2015-04-12,0.004,0.508,0.038,0.017,56.844,33.76
강원,2015-04-13,0.003,0.391,0.045,0.012,31.989,15.717
강원,2015-04-14,0.003,0.5,0.037,0.017,37.1,21.85
강원,2015-04-15,0.005,0.595,0.039,0.025,53.701,31.391
강원,2015-04-16,0.004,0.606,0.031,0.021,84.955,39.045
강원,2015-04-17,0.004,0.451,0.033,0.017,84.198,18.125
강원,2015-04-18,0.004,0.447,0.032,0.02,56.792,15.25
강원,2015-04-19,0.004,0.472,0.032,0.015,42.67,17.032
강원,2015-04-20,0.003,0.434,0.041,0.014,33.976,12.554
강원,2015-04-21,0.004,0.546,0.026,0.019,57.699,24.976
강원,2015-04-22,0.005,0.549,0.041,0.019,60.678,27.763
강원,2015-04-23,0.004,0.467,0.046,0.018,55.667,32.533
강원,2015-04-24,0.004,0.491,0.046,0.018,70.562,30.575
강원,2015-04-25,0.004,0.478,0.035,0.02,62.021,20.621
강원,2015-04-26,0.006,0.562,0.057,0.015,78.958,36.365
강원,2015-04-27,0.006,0.649,0.063,0.019,94.368,54.515
강원,2015-04-28,0.003,0.463,0.04,0.022,49.074,20.632
강원,2015-04-29,0.003,0.525,0.029,0.023,56.469,27.49
강원,2015-04-30,0.003,0.481,0.032,0.016,41.579,19.295
강원,2015-05-01,0.003,0.525,0.041,0.019,50.295,26.853
강원,2015-05-02,0.003,0.541,0.04,0.019,54.726,31.779
강원,2015-05-03,0.002,0.516,0.027,0.014,47.146,28.012
강원,2015-05-04,0.002,0.397,0.034,0.012,61.24,16.333
강원,2015-05-05,0.003,0.411,0.037,0.014,51.156,13.24
강원,2015-05-06,0.004,0.535,0.037,0.023,61.095,22
강원,2015-05-07,0.004,0.541,0.044,0.02,72.635,30.115
강원,2015-05-08,0.004,0.552,0.044,0.021,59.083,26.833
강원,2015-05-09,0.004,0.513,0.048,0.015,62.867,31.322
강원,2015-05-10,0.003,0.464,0.041,0.011,49.302,19.76
강원,2015-05-11,0.003,0.518,0.026,0.016,43.437,16.535
강원,2015-05-12,0.003,0.456,0.046,0.011,38.729,17.169
강원,2015-05-13,0.004,0.383,0.054,0.013,66.485,24.455
강원,2015-05-14,0.003,0.402,0.057,0.016,68.431,29.828
강원,2015-05-15,0.003,0.572,0.055,0.016,114.519,63.901
강원,2015-05-16,0.002,0.383,0.043,0.014,60.4,30.453
강원,2015-05-17,0.003,0.418,0.053,0.015,49.705,24.968
강원,2015-05-18,0.002,0.393,0.045,0.019,50.179,23.505
강원,2015-05-19,0.002,0.452,0.052,0.014,64.851,36.245
강원,2015-05-20,0.002,0.396,0.036,0.014,51.467,23.7
강원,2015-05-21,0.004,0.395,0.049,0.016,43.611,18.263
강원,2015-05-22,0.005,0.465,0.066,0.017,60.532,29.777
강원,2015-05-23,0.003,0.396,0.055,0.018,48.032,21.011
강원,2015-05-24,0.003,0.358,0.056,0.016,42.632,18.337
강원,2015-05-25,0.003,0.404,0.055,0.018,49.5,22.604
강원,2015-05-26,0.003,0.386,0.057,0.019,53.25,24.771
강원,2015-05-27,0.002,0.347,0.052,0.018,44.42,20
강원,2015-05-28,0.003,0.387,0.063,0.018,51.118,24.978
강원,2015-05-29,0.004,0.424,0.067,0.02,64.189,34.768
강원,2015-05-30,0.003,0.365,0.041,0.016,49.902,28.043
강원,2015-05-31,0.002,0.34,0.035,0.013,38.549,20.901
강원,2015-06-01,0.003,0.378,0.052,0.017,39.979,19.229
강원,2015-06-02,0.003,0.387,0.062,0.018,44.489,21.833
강원,2015-06-03,0.003,0.287,0.042,0.012,43.882,14.14
강원,2015-06-04,0.003,0.333,0.047,0.015,39.585,12.404
강원,2015-06-05,0.002,0.389,0.041,0.015,36.154,16.846
강원,2015-06-06,0.003,0.356,0.043,0.012,36.585,18.234
강원,2015-06-07,0.003,0.412,0.051,0.014,49.021,25.383
강원,2015-06-08,0.003,0.403,0.05,0.016,50.568,25
강원,2015-06-09,0.003,0.398,0.051,0.014,51.875,30.021
강원,2015-06-10,0.003,0.426,0.054,0.017,54.344,28.722
강원,2015-06-11,0.003,0.387,0.049,0.014,49.691,24.191
강원,2015-06-12,0.003,0.409,0.059,0.012,49.549,25.088
강원,2015-06-13,0.003,0.461,0.051,0.013,64.179,33.105
강원,2015-06-14,0.002,0.428,0.05,0.01,51.221,28.57
강원,2015-06-15,0.002,0.441,0.05,0.013,47.11,28.143
강원,2015-06-16,0.002,0.439,0.046,0.012,45.638,27.34
강원,2015-06-17,0.002,0.376,0.045,0.009,39.054,20.398
강원,2015-06-18,0.002,0.319,0.044,0.007,33.806,16.742
강원,2015-06-19,0.002,0.305,0.044,0.007,26.667,11.207
강원,2015-06-20,0.002,0.37,0.032,0.011,31.122,15.222
강원,2015-06-21,0.002,0.334,0.033,0.009,28.731,13.731
강원,2015-06-22,0.003,0.394,0.044,0.014,38.064,21
강원,2015-06-23,0.002,0.373,0.05,0.011,42.593,25.358
강원,2015-06-24,0.002,0.38,0.045,0.011,39.578,23.311
강원,2015-06-25,0.002,0.409,0.037,0.013,38.818,22.875
강원,2015-06-26,0.002,0.284,0.042,0.007,19.073,7.817
강원,2015-06-27,0.002,0.276,0.034,0.007,24.929,8.929
강원,2015-06-28,0.003,0.3,0.037,0.009,33.149,14.447
강원,2015-06-29,0.003,0.354,0.05,0.015,40.832,19.6
강원,2015-06-30,0.002,0.304,0.044,0.013,35.717,18.804
경기,2015-04-01,0.003,0.526,0.028,0.027,28.475,16.574
경기,2015-04-02,0.004,0.432,0.032,0.019,25.328,12.431
경기,2015-04-03,0.004,0.718,0.019,0.03,37.353,21.474
경기,2015-04-04,0.003,0.439,0.031,0.023,19.624,9.298
경기,2015-04-05,0.003,0.469,0.018,0.027,18.116,10.739
경기,2015-04-06,0.004,0.494,0.02,0.029,59.124,22.649
경기,2015-04-07,0.003,0.444,0.02,0.028,44.015,19.165
경기,2015-04-08,0.004,0.438,0.023,0.03,33.483,17.846
경기,2015-04-09,0.007,0.581,0.024,0.042,56.908,31.195
경기,2015-04-10,0.007,0.589,0.027,0.044,64.7,33.36
경기,2015-04-11,0.006,0.588,0.029,0.043,72.9,37.546
경기,2015-04-12,0.005,0.484,0.038,0.029,57.625,31.704
경기,2015-04-13,0.003,0.347,0.048,0.016,26.935,13.891
경기,2015-04-14,0.003,0.453,0.034,0.029,26.143,17.388
경기,2015-04-15,0.006,0.58,0.04,0.029,50.932,29.428
경기,2015-04-16,0.005,0.509,0.036,0.029,80.58,34.082
경기,2015-04-17,0.005,0.428,0.029,0.029,69.469,16.336
경기,2015-04-18,0.006,0.534,0.018,0.044,61.825,20.281
경기,2015-04-19,0.004,0.437,0.025,0.027,28.589,13.751
경기,2015-04-20,0.003,0.396,0.037,0.026,15.721,7.963
경기,2015-04-21,0.006,0.538,0.029,0.036,49.067,23.038
경기,2015-04-22,0.007,0.572,0.041,0.037,75.452,36.632
경기,2015-04-23,0.006,0.565,0.035,0.036,68.831,36.711
경기,2015-04-24,0.006,0.56,0.049,0.033,78.996,35.435
경기,2015-04-25,0.007,0.45,0.028,0.035,62.08,22.777
경기,2015-04-26,0.008,0.489,0.044,0.03,58.946,27.604
경기,2015-04-27,0.008,0.537,0.044,0.04,66.695,34.406
경기,2015-04-28,0.006,0.456,0.026,0.041,54.448,28.732
경기,2015-04-29,0.004,0.411,0.018,0.031,40.025,24.809
경기,2015-04-30,0.004,0.415,0.028,0.03,33.627,18.222
경기,2015-05-01,0.007,0.473,0.036,0.033,43.933,25.742
경기,2015-05-02,0.006,0.447,0.033,0.029,42.825,26.088
경기,2015-05-03,0.003,0.43,0.021,0.022,29.819,19.469
경기,2015-05-04,0.004,0.368,0.032,0.018,47.026,14.487
경기,2015-05-05,0.004,0.367,0.035,0.021,37.987,11.728
경기,2015-05-06,0.006,0.439,0.031,0.035,45.471,15.837
경기,2015-05-07,0.006,0.44,0.029,0.039,44.338,18.717
경기,2015-05-08,0.007,0.443,0.034,0.034,55.55,30.073
경기,2015-05-09,0.007,0.371,0.041,0.024,40.524,21.326
경기,2015-05-10,0.007,0.42,0.035,0.025,41.595,19.644
경기,2015-05-11,0.004,0.398,0.033,0.025,42.068,19.64
경기,2015-05-12,0.005,0.45,0.046,0.014,41.255,18.19
경기,2015-05-13,0.007,0.432,0.054,0.018,65.697,22.316
경기,2015-05-14,0.006,0.445,0.052,0.022,57.153,26.538
경기,2015-05-15,0.006,0.599,0.043,0.029,107.278,52.816
경기,2015-05-16,0.007,0.545,0.04,0.031,58.205,27.645
경기,2015-05-17,0.008,0.553,0.05,0.027,58.645,32.248
경기,2015-05-18,0.005,0.469,0.036,0.032,47.261,23.895
경기,2015-05-19,0.004,0.46,0.043,0.022,46.236,26.756
경기,2015-05-20,0.005,0.422,0.033,0.023,41.067,17.324
경기,2015-05-21,0.007,0.447,0.043,0.027,42.979,20.346
경기,2015-05-22,0.008,0.509,0.043,0.034,52.258,26.306
경기,2015-05-23,0.007,0.451,0.038,0.035,44,21.486
경기,2015-05-24,0.006,0.382,0.041,0.025,32.782,15.86
경기,2015-05-25,0.006,0.377,0.04,0.025,39.466,21.565
경기,2015-05-26,0.007,0.401,0.032,0.033,40.477,22.453
경기,2015-05-27,0.006,0.425,0.03,0.041,38.341,19.885
경기,2015-05-28,0.007,0.472,0.041,0.047,46.286,23.172
경기,2015-05-29,0.008,0.43,0.031,0.04,49.924,25.861
경기,2015-05-30,0.005,0.36,0.031,0.025,35.757,21.537
경기,2015-05-31,0.006,0.445,0.044,0.023,48.464,27.845
경기,2015-06-01,0.007,0.469,0.037,0.033,42.228,23.138
경기,2015-06-02,0.006,0.473,0.037,0.035,40.446,23.147
경기,2015-06-03,0.005,0.368,0.037,0.019,43.692,13.26
경기,2015-06-04,0.006,0.556,0.043,0.032,43.111,18.845
경기,2015-06-05,0.005,0.502,0.033,0.034,35.167,18.863
경기,2015-06-06,0.005,0.378,0.045,0.022,29.134,15.222
경기,2015-06-07,0.005,0.405,0.054,0.018,28.935,16.03
경기,2015-06-08,0.007,0.431,0.041,0.028,38.465,22.641
경기,2015-06-09,0.006,0.399,0.04,0.023,44.616,26.735
경기,2015-06-10,0.006,0.436,0.045,0.028,50.598,28.65
경기,2015-06-11,0.005,0.41,0.037,0.028,43.659,24.36
경기,2015-06-12,0.005,0.466,0.057,0.02,46.64,25.329
경기,2015-06-13,0.005,0.487,0.058,0.021,73,33.864
경기,2015-06-14,0.004,0.393,0.056,0.017,32.145,18.195
경기,2015-06-15,0.004,0.466,0.042,0.029,38.618,22.409
경기,2015-06-16,0.005,0.502,0.042,0.03,48.888,29.75
경기,2015-06-17,0.005,0.545,0.041,0.029,53.984,33.008
경기,2015-06-18,0.004,0.418,0.043,0.023,37.368,21.714
경기,2015-06-19,0.003,0.373,0.046,0.021,27.212,15.377
경기,2015-06-20,0.005,0.48,0.027,0.029,39.868,24.603
경기,2015-06-21,0.004,0.412,0.041,0.021,23.711,13.314
경기,2015-06-22,0.006,0.45,0.039,0.028,29.531,17.456
경기,2015-06-23,0.006,0.445,0.046,0.028,34.239,21.444
경기,2015-06-24,0.006,0.455,0.048,0.027,39.28,24.687
